Flux	Ic
-5	0.000999001
-4.999	0.000799193
-4.998	0.000599296
-4.997	0.000399314
-4.996	0.000199248
-4.995	8.99948e-07
-4.994	0.000201128
-4.993	0.000401435
-4.992	0.000601818
-4.991	0.000802275
-4.99	0.0010028
-4.989	0.0012034
-4.988	0.00140407
-4.987	0.00160481
-4.986	0.00180561
-4.985	0.00200647
-4.984	0.00220739
-4.983	0.00240837
-4.982	0.00260941
-4.981	0.00281051
-4.98	0.00301165
-4.979	0.00321285
-4.978	0.0034141
-4.977	0.00361539
-4.976	0.00381673
-4.975	0.00401811
-4.974	0.00421954
-4.973	0.004421
-4.972	0.0046225
-4.971	0.00482403
-4.97	0.0050256
-4.969	0.0052272
-4.968	0.00542883
-4.967	0.00563049
-4.966	0.00583217
-4.965	0.00603388
-4.964	0.0062356
-4.963	0.00643735
-4.962	0.00663912
-4.961	0.0068409
-4.96	0.00704269
-4.959	0.0072445
-4.958	0.00744631
-4.957	0.00764814
-4.956	0.00784997
-4.955	0.0080518
-4.954	0.00825363
-4.953	0.00845547
-4.952	0.0086573
-4.951	0.00885913
-4.95	0.00906095
-4.94901	0.00926277
-4.94801	0.00946457
-4.94701	0.00966636
-4.94601	0.00986814
-4.94501	0.0100699
-4.94401	0.0102716
-4.94301	0.0104734
-4.94201	0.0106751
-4.94101	0.0108768
-4.94001	0.0110784
-4.93901	0.01128
-4.93801	0.0114816
-4.93701	0.0116832
-4.93601	0.0118847
-4.93501	0.0120862
-4.93401	0.0122877
-4.93301	0.0124891
-4.93201	0.0126905
-4.93101	0.0128918
-4.93001	0.0130931
-4.92901	0.0132943
-4.92801	0.0134955
-4.92701	0.0136966
-4.92601	0.0138977
-4.92501	0.0140987
-4.92401	0.0142997
-4.92301	0.0145006
-4.92201	0.0147015
-4.92101	0.0149022
-4.92001	0.0151029
-4.91901	0.0153036
-4.91801	0.0155042
-4.91701	0.0157047
-4.91601	0.0159051
-4.91501	0.0161055
-4.91401	0.0163058
-4.91301	0.016506
-4.91201	0.0167061
-4.91101	0.0169061
-4.91001	0.0171061
-4.90901	0.0173059
-4.90801	0.0175057
-4.90701	0.0177054
-4.90601	0.0179049
-4.90501	0.0181044
-4.90401	0.0183038
-4.90301	0.0185031
-4.90201	0.0187023
-4.90101	0.0189014
-4.90001	0.0191004
-4.89901	0.0192993
-4.89801	0.019498
-4.89701	0.0196967
-4.89601	0.0198952
-4.89501	0.0200936
