Phase	CPR
-6.28319	2.44929e-16
-6.27062	0.012566
-6.25805	0.0251301
-6.24549	0.0376902
-6.23292	0.0502443
-6.22035	0.0627905
-6.20779	0.0753268
-6.19522	0.0878512
-6.18265	0.100362
-6.17009	0.112856
-6.15752	0.125333
-6.14496	0.13779
-6.13239	0.150226
-6.11982	0.162637
-6.10726	0.175023
-6.09469	0.187381
-6.08212	0.19971
-6.06956	0.212007
-6.05699	0.224271
-6.04442	0.236499
-6.03186	0.24869
-6.01929	0.260842
-6.00673	0.272952
-5.99416	0.285019
-5.98159	0.297042
-5.96903	0.309017
-5.95646	0.320944
-5.94389	0.33282
-5.93133	0.344643
-5.91876	0.356412
-5.90619	0.368125
-5.89363	0.379779
-5.88106	0.391374
-5.8685	0.402906
-5.85593	0.414376
-5.84336	0.425779
-5.8308	0.437116
-5.81823	0.448383
-5.80566	0.45958
-5.7931	0.470704
-5.78053	0.481754
-5.76796	0.492727
-5.7554	0.503623
-5.74283	0.51444
-5.73027	0.525175
-5.7177	0.535827
-5.70513	0.546394
-5.69257	0.556876
-5.68	0.567269
-5.66743	0.577573
-5.65487	0.587785
-5.6423	0.597905
-5.62973	0.60793
-5.61717	0.61786
-5.6046	0.627691
-5.59203	0.637424
-5.57947	0.647056
-5.5669	0.656586
-5.55434	0.666012
-5.54177	0.675333
-5.5292	0.684547
-5.51664	0.693653
-5.50407	0.70265
-5.4915	0.711536
-5.47894	0.720309
-5.46637	0.728969
-5.4538	0.737513
-5.44124	0.745941
-5.42867	0.754251
-5.41611	0.762443
-5.40354	0.770513
-5.39097	0.778462
-5.37841	0.786288
-5.36584	0.79399
-5.35327	0.801567
-5.34071	0.809017
-5.32814	0.816339
-5.31557	0.823533
-5.30301	0.830596
-5.29044	0.837528
-5.27788	0.844328
-5.26531	0.850994
-5.25274	0.857527
-5.24018	0.863923
-5.22761	0.870184
-5.21504	0.876307
-5.20248	0.882291
-5.18991	0.888136
-5.17734	0.893841
-5.16478	0.899405
-5.15221	0.904827
-5.13965	0.910106
-5.12708	0.915241
-5.11451	0.920232
-5.10195	0.925077
-5.08938	0.929776
-5.07681	0.934329
-5.06425	0.938734
-5.05168	0.942991
-5.03911	0.947098
-5.02655	0.951057
-5.01398	0.954865
-5.00142	0.958522
-4.98885	0.962028
-4.97628	0.965382
-4.96372	0.968583
-4.95115	0.971632
-4.93858	0.974527
-4.92602	0.977268
-4.91345	0.979855
-4.90088	0.982287
-4.88832	0.984564
-4.87575	0.986686
-4.86319	0.988652
-4.85062	0.990461
-4.83805	0.992115
-4.82549	0.993611
-4.81292	0.994951
-4.80035	0.996134
-4.78779	0.997159
-4.77522	0.998027
-4.76265	0.998737
-4.75009	0.999289
-4.73752	0.999684
-4.72496	0.999921
-4.71239	1
-4.69982	0.999921
-4.68726	0.999684
-4.67469	0.999289
-4.66212	0.998737
-4.64956	0.998027
-4.63699	0.997159
-4.62442	0.996134
-4.61186	0.994951
-4.59929	0.993611
-4.58673	0.992115
-4.57416	0.990461
-4.56159	0.988652
-4.54903	0.986686
-4.53646	0.984564
-4.52389	0.982287
-4.51133	0.979855
-4.49876	0.977268
-4.48619	0.974527
-4.47363	0.971632
-4.46106	0.968583
-4.4485	0.965382
-4.43593	0.962028
-4.42336	0.958522
-4.4108	0.954865
-4.39823	0.951057
-4.38566	0.947098
-4.3731	0.942991
-4.36053	0.938734
-4.34796	0.934329
-4.3354	0.929776
-4.32283	0.925077
-4.31027	0.920232
-4.2977	0.915241
-4.28513	0.910106
-4.27257	0.904827
-4.26	0.899405
-4.24743	0.893841
-4.23487	0.888136
-4.2223	0.882291
-4.20973	0.876306
-4.19717	0.870183
-4.1846	0.863923
-4.17204	0.857526
-4.15947	0.850993
-4.1469	0.844326
-4.13434	0.837526
-4.12177	0.830593
-4.1092	0.823529
-4.09664	0.816334
-4.08407	0.80901
-4.0715	0.801558
-4.05894	0.793978
-4.04637	0.786272
-4.0338	0.778441
-4.02124	0.770485
-4.00867	0.762405
-3.99611	0.754202
-3.98354	0.745876
-3.97097	0.737429
-3.95841	0.728859
-3.94584	0.720167
-3.93327	0.711353
-3.92071	0.702416
-3.90814	0.693354
-3.89557	0.684166
-3.88301	0.674849
-3.87044	0.665401
-3.85788	0.655818
-3.84531	0.646094
-3.83274	0.636224
-3.82018	0.6262
-3.80761	0.616013
-3.79504	0.605653
-3.78248	0.595109
-3.76991	0.584365
-3.75734	0.573406
-3.74478	0.562213
-3.73221	0.550765
-3.71965	0.539039
-3.70708	0.527008
-3.69451	0.514643
-3.68195	0.501913
-3.66938	0.488782
-3.65681	0.475215
-3.64425	0.461172
-3.63168	0.44661
-3.61911	0.431488
-3.60655	0.415759
-3.59398	0.39938
-3.58142	0.382305
-3.56885	0.364489
-3.55628	0.345889
