flux	Ic
-5	0.00893012
-4.99	0.00895002
-4.98	0.010975
-4.97	0.0130052
-4.96	0.0150386
-4.95	0.0170732
-4.94	0.0191071
-4.93	0.0211382
-4.92	0.0231646
-4.91	0.0251843
-4.9	0.0271954
-4.89	0.0291956
-4.88	0.0311833
-4.87	0.0331562
-4.86	0.0351124
-4.85	0.03705
-4.84	0.038967
-4.83	0.0408615
-4.82	0.0427314
-4.81	0.044575
-4.8	0.0463902
-4.79	0.0481752
-4.78	0.0499281
-4.77	0.0516472
-4.76	0.0533304
-4.75	0.0549761
-4.74	0.0565825
-4.73	0.0581476
-4.72	0.0596698
-4.71	0.061147
-4.7	0.0625774
-4.69	0.0639587
-4.68	0.0652886
-4.67	0.0665644
-4.66	0.0677848
-4.65	0.0689453
-4.64	0.0700416
-4.63	0.0710723
-4.62	0.0720321
-4.61	0.0729186
-4.6	0.0737257
-4.59	0.074453
-4.58	0.0750962
-4.57	0.0756513
-4.56	0.0761159
-4.55	0.0764875
-4.54	0.0767643
-4.53	0.0769444
-4.52	0.0770264
-4.51	0.0770093
-4.5	0.0768926
-4.49	0.076676
-4.48	0.0763601
-4.47	0.0759458
-4.46	0.0754345
-4.45	0.0748283
-4.44	0.0741296
-4.43	0.0733416
-4.42	0.0724675
-4.41	0.0715176
-4.4	0.0704991
-4.39	0.0694346
-4.38	0.0683877
-4.37	0.0674755
-4.36	0.0665975
-4.35	0.0656979
-4.34	0.0647549
-4.33	0.0637606
-4.32	0.0627075
-4.31	0.0615952
-4.3	0.0604208
-4.29	0.0591835
-4.28	0.0578833
-4.27	0.0565206
-4.26	0.0550961
-4.25	0.0536106
-4.24	0.0520652
-4.23	0.0504609
-4.22	0.0487991
-4.21	0.0470811
-4.2	0.0453082
-4.19	0.043482
-4.18	0.041604
-4.17	0.0396757
-4.16	0.0376988
-4.15	0.035675
-4.14	0.033606
-4.13	0.0314938
-4.12	0.02934
-4.11	0.0271467
-4.1	0.0249158
-4.09	0.0226493
-4.08	0.0203492
-4.07	0.0180177
-4.06	0.0156568
-4.05	0.0132687
-4.04	0.0108557
-4.03	0.0084199
-4.02	0.00596365
-4.01	0.00348924
-4	0.000999001
-3.99	0.00150471
-3.98	0.00401951
-3.97	0.006543
-3.96	0.00907274
-3.95	0.0116063
-3.94	0.0141412
-3.93	0.016675
-3.92	0.0192052
-3.91	0.0217293
-3.9	0.0242448
-3.89	0.0267491
-3.88	0.0292399
-3.87	0.0317146
-3.86	0.0341706
-3.85	0.0366055
-3.84	0.0390168
-3.83	0.0414021
-3.82	0.0437587
-3.81	0.0460844
-3.8	0.0483766
-3.79	0.0506329
-3.78	0.052851
-3.77	0.0550284
-3.76	0.057163
-3.75	0.0592523
-3.74	0.0612942
-3.73	0.0632865
-3.72	0.0652272
-3.71	0.0671144
-3.7	0.0689465
-3.69	0.0707222
-3.68	0.0724406
-3.67	0.0741022
-3.66	0.0757088
-3.65	0.0772606
-3.64	0.0787675
-3.63	0.08024
-3.62	0.081706
-3.61	0.083256
-3.6	0.0849729
-3.59	0.086701
-3.58	0.0883801
-3.57	0.0899859
-3.56	0.0915107
-3.55	0.0929402
-3.54	0.0942685
-3.53	0.0954904
-3.52	0.0966012
-3.51	0.0975967
