Phase	potential
-6.28319	3.07787e-18
-6.27062	0.00015791
-6.25805	0.000473704
-6.24549	0.000947332
-6.23292	0.00157872
-6.22035	0.00157872
-6.20779	0.00236777
-6.19522	0.00331435
-6.18265	0.00441833
-6.17009	0.00567951
-6.15752	0.0070977
-6.14496	0.00867269
-6.13239	0.0104042
-6.11982	0.012292
-6.10726	0.0143358
-6.09469	0.0165352
-6.08212	0.0188899
-6.06956	0.0213995
-6.05699	0.0240637
-6.04442	0.0268819
-6.03186	0.0298539
-6.01929	0.032979
-6.00673	0.0362568
-5.99416	0.0396868
-5.98159	0.0432685
-5.96903	0.0470012
-5.95646	0.0508845
-5.94389	0.0549175
-5.93133	0.0590999
-5.91876	0.0634308
-5.90619	0.0679096
-5.89363	0.0725356
-5.88106	0.077308
-5.8685	0.0822262
-5.85593	0.0872892
-5.84336	0.0924964
-5.8308	0.0978469
-5.81823	0.10334
-5.80566	0.108974
-5.7931	0.11475
-5.78053	0.120665
-5.76796	0.126719
-5.7554	0.13291
-5.74283	0.139239
-5.73027	0.145704
-5.7177	0.152303
-5.70513	0.159037
-5.69257	0.165903
-5.68	0.172901
-5.66743	0.180029
-5.65487	0.187287
-5.6423	0.194674
-5.62973	0.202187
-5.61717	0.209827
-5.6046	0.217591
-5.59203	0.225479
-5.57947	0.233489
-5.5669	0.24162
-5.55434	0.249871
-5.54177	0.25824
-5.5292	0.266727
-5.51664	0.275329
-5.50407	0.284046
-5.4915	0.292875
-5.47894	0.301817
-5.46637	0.310868
-5.4538	0.320029
-5.44124	0.329297
-5.42867	0.338671
-5.41611	0.348149
-5.40354	0.35773
-5.39097	0.367413
-5.37841	0.377195
-5.36584	0.387076
-5.35327	0.397053
-5.34071	0.407126
-5.32814	0.417293
-5.31557	0.427551
-5.30301	0.4379
-5.29044	0.448337
-5.27788	0.458862
-5.26531	0.469472
-5.25274	0.480166
-5.24018	0.490942
-5.22761	0.501798
-5.21504	0.512734
-5.20248	0.523746
-5.18991	0.534833
-5.17734	0.545993
